# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Salgado, H. et al. (2013). "RegulonDB v8.0: Omics data sets, evolutionary conservation,
#      regulatory phrases, cross-validated gold standards and more".
#      Nucleic Acids Research. 2013 Jan 1;41(D1):D203-D213. Epub 2012 Nov 29.
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
## Release: 8.6 Date: 4-11-2014
# ___________________________________________________________________________
#
# Columns:
#  (1) Sigma Factor name
#  (2) TUName (regulated)
#  (3) Regulatory effect of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the regulatory interaction
#
Sigma19	fecABCDE[fecAp]	+	[FP, HIPP, TIM, CV(FP/TIM)]
Sigma24	C0343-dbpA[dbpAp2]	+	[ICWHO]
Sigma24	aaeB[aaeBp3]	+	[ICWHO]
Sigma24	aaeB[aaeBp8]	+	[ICWHO]
Sigma24	acpS[acpSp2]	+	[ICWHO]
Sigma24	acpS[acpSp3]	+	[ICWHO]
Sigma24	adeQ[yicOp1]	+	[ICWHO]
Sigma24	adeQ[yicOp5]	+	[ICWHO]
Sigma24	adeQ[yicOp11]	+	[ICWHO]
Sigma24	ahpF[ahpFp]	+	[AIPP, TIM]
Sigma24	alaE[alaEp1]	+	[ICWHO]
Sigma24	alaWX[alaXp2]	+	[ICWHO]
Sigma24	allE[ylbAp2]	+	[ICWHO]
Sigma24	ampDE[ampDp5]	+	[ICWHO]
Sigma24	ampG[ampGp5]	+	[ICWHO]
Sigma24	apaH[apaHp4]	+	[ICWHO]
Sigma24	apbE[apbEp1]	+	[ICWHO]
Sigma24	aqpZ[aqpZp2]	+	[ICWHO]
Sigma24	arpA[arpAp1]	+	[ICWHO]
Sigma24	astE[astEp3]	+	[ICWHO]
Sigma24	azoR[azoRp1]	+	[ICWHO]
Sigma24	azoR[azoRp6]	+	[ICWHO]
Sigma24	bacA[bacAp]	+	[AIPP, TIM]
Sigma24	bamA[bamAp]	+	[HIPP, TIM]
Sigma24	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE[bamAp2]	+	[AIPP, RS-EPT-CBR, TIM]
Sigma24	bamB-der[bamBp]	+	[AIPP, TIM]
Sigma24	bamC[bamCp]	+	[HIPP, TIM]
Sigma24	bamD[bamDp]	+	[HIPP, TIM]
Sigma24	bamD[bamDp2]	+	[AIPP, TIM]
Sigma24	bamE[bamEp]	+	[AIPP, TIM]
Sigma24	bepA-yfgD[bepAp1]	+	[AIPP, TIM]
Sigma24	bhsA[bhsAp]	+	[HTTIM]
Sigma24	bisC[bisCp4]	+	[ICWHO]
Sigma24	ccmH[ccmHp1]	+	[ICWHO]
Sigma24	chbG[chbGp4]	+	[ICWHO]
Sigma24	citT[citTp4]	+	[ICWHO]
Sigma24	clpX-lon[clpXp]	+	[AIPP, RS-EPT-CBR, TIM]
Sigma24	cobC[cobCp7]	+	[ICWHO]
Sigma24	cpxA[cpxAp1]	+	[ICWHO]
Sigma24	crcB[crcBp4]	+	[ICWHO]
Sigma24	csgG[csgGp1]	+	[ICWHO]
Sigma24	csiR[csiRp3]	+	[ICWHO]
Sigma24	cspF[cspFp8]	+	[ICWHO]
Sigma24	cspH[cspHp13]	+	[ICWHO]
Sigma24	cspH[cspHp14]	+	[ICWHO]
Sigma24	cspH[cspHp15]	+	[ICWHO]
Sigma24	curA[yncBp4]	+	[ICWHO]
Sigma24	cutC[cutCp]	+	[HIPP, TIM]
